/root/dataset/__ham__/2.eml,0,0,0
/root/dataset/__phishing__/3.eml,0,0,1
/root/dataset/__ham__/1.eml,0,0,0
/root/dataset/__phishing__/4.eml,0,0,1
/root/dataset/__ham__/esto es un test ham.eml,0,0,0
/root/dataset/__ham__/3.eml,0,0,0
/root/dataset/__phishing__/1.eml,0,0,1
/root/dataset/__phishing__/0.eml,0,0,1
/root/dataset/__phishing__/5.eml,0,0,1
/root/dataset/__phishing__/2.eml,0,0,1
/root/dataset/__phishing__/6.eml,0,0,1
/root/dataset/__phishing__/7.eml,100,1,1
/root/dataset/__phishing__/8.eml,300,1,1
